id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-2215,2020-01-24,000001,Vente,208350,165,,ALL GUYNEMER,0362,01500,01004,Ambérieu-en-Bugey,01,,,01004000AL0364,,,,,,,,,,,,,0,1,Maison,112,6,S,sols,,,293,5.338715,45.961261
2020-2215,2020-01-24,000001,Vente,208350,,,LA BARBOTIERE,B012,01500,01004,Ambérieu-en-Bugey,01,,,01004000AL0380,,,,,,,,,,,,,0,,,,,S,sols,,,14,5.339917,45.960941
2020-2216,2020-01-27,000001,Vente,13839,,,AU PERRIER RIOM OUEST,B192,01500,01004,Ambérieu-en-Bugey,01,,,01004000AD0060,,,,,,,,,,,,,0,,,,,T,terres,,,1977,5.335278,45.970392
2020-2217,2020-01-13,000001,Vente en l'état futur d'achèvement,314000,,,LONGES RAYES,B025,01170,01071,Cessy,01,,,01071000AP0222,,,98,,,,,,,,,,1,,,,,,,,,,6.069448,46.310061
2020-2217,2020-01-13,000001,Vente en l'état futur d'achèvement,314000,,,LONGES RAYES,B025,01170,01071,Cessy,01,,,01071000AP0222,,,186,,,,,,,,,,1,,,,,,,,,,6.069448,46.310061
2020-2218,2020-01-27,000001,Vente,14714,,,LE MARAIS,B157,01500,01004,Ambérieu-en-Bugey,01,,,01004000AC0399,,,,,,,,,,,,,0,,,,,T,terres,,,2102,5.333922,45.971907
2020-2219,2020-01-17,000001,Vente,535000,226,,ALL DES CAPUCINES,0036,01630,01354,Saint-Genis-Pouilly,01,,,01354000AB0387,,,21,117,,,,,,,,,1,1,Maison,117,5,,,,,,6.030999,46.275969
2020-2220,2020-01-15,000002,Echange,10490,,,BEL AIR,B008,01300,01034,Belley,01,,,01034000AH0266,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1049,5.694143,45.759141
2020-2221,2020-01-15,000003,Echange,9630,,,BEL AIR,B008,01300,01034,Belley,01,,,01034000AH0229,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,252,5.694668,45.759582
2020-2221,2020-01-15,000003,Echange,9630,,,BEL AIR,B008,01300,01034,Belley,01,,,01034000AH0268,,,,,,,,,,,,,0,,,,,P,prés,,,81,5.694575,45.759388
